source,source_game_id,event_id,event_type,game_date,time_control,rated,player_id,opponent_id,player_color,official_elo,opponent_elo,result,avg_acl,account_status,is_banned,label,ingested_at_utc
lichess,M0wjLq6G,lichess-event,online,2025-08-03,blitz,true,KAPUTVSEMU,Mlchael,white,2835,2838,loss,62.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,M0wjLq6G,lichess-event,online,2025-08-03,blitz,true,Mlchael,KAPUTVSEMU,black,2838,2835,win,45.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,oI0aUTBi,lichess-event,online,2025-08-01,blitz,true,Mlchael,NorthWind05,white,2835,2636,win,14.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,oI0aUTBi,lichess-event,online,2025-08-01,blitz,true,NorthWind05,Mlchael,black,2636,2835,loss,26.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,HKAZ8HvQ,lichess-event,online,2025-08-01,blitz,true,Mlchael,vwemby,white,2832,2599,win,19.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,HKAZ8HvQ,lichess-event,online,2025-08-01,blitz,true,vwemby,Mlchael,black,2599,2832,loss,12.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,vY7J3VRB,lichess-event,online,2025-07-23,blitz,true,Dr-CRO,Mlchael,white,2724,2839,win,37.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,vY7J3VRB,lichess-event,online,2025-07-23,blitz,true,Mlchael,Dr-CRO,black,2839,2724,loss,52.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,B8Csit8S,lichess-event,online,2025-07-23,blitz,true,Mlchael,foxtel,white,2842,2648,draw,50.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,B8Csit8S,lichess-event,online,2025-07-23,blitz,true,foxtel,Mlchael,black,2648,2842,draw,50.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,aCYw12qa,lichess-event,online,2026-02-25,blitz,true,Conan_The_Barbarian8,Dynasty24,white,2892,2734,win,13.0,active,false,clean,2026-03-02T16:21:47+00:00
