source,source_game_id,event_id,event_type,game_date,time_control,rated,player_id,opponent_id,player_color,official_elo,opponent_elo,result,avg_acl,account_status,is_banned,label,ingested_at_utc
lichess,U7foSYrt,lichess-event,online,2026-02-23,blitz,true,InvisibleGuest2023,CalisthenicsBoy,black,2872,3003,loss,34.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,kfkphKPE,lichess-event,online,2026-02-23,blitz,true,InvisibleGuest2023,CalisthenicsBoy,white,2876,2999,loss,56.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,kfkphKPE,lichess-event,online,2026-02-23,blitz,true,CalisthenicsBoy,InvisibleGuest2023,black,2999,2876,win,33.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,x0Zn3hFi,lichess-event,online,2026-02-23,blitz,true,CalisthenicsBoy,InvisibleGuest2023,white,2996,2880,win,18.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,x0Zn3hFi,lichess-event,online,2026-02-23,blitz,true,InvisibleGuest2023,CalisthenicsBoy,black,2880,2996,loss,31.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,OhZu8Cvk,lichess-event,online,2026-02-23,blitz,true,InvisibleGuest2023,CalisthenicsBoy,white,2878,2997,draw,36.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,OhZu8Cvk,lichess-event,online,2026-02-23,blitz,true,CalisthenicsBoy,InvisibleGuest2023,black,2997,2878,draw,35.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,idhdPLIG,lichess-event,online,2026-02-23,blitz,true,CalisthenicsBoy,InvisibleGuest2023,white,2994,2882,win,72.0,active,false,clean,2026-03-02T16:21:47+00:00
lichess,idhdPLIG,lichess-event,online,2026-02-23,blitz,true,InvisibleGuest2023,CalisthenicsBoy,black,2882,2994,loss,85.0,unknown,false,clean,2026-03-02T16:21:47+00:00
lichess,QJPAw2LG,lichess-event,online,2026-02-23,blitz,true,CalisthenicsBoy,Andrey11976,white,2991,2760,win,20.0,active,false,clean,2026-03-02T16:21:47+00:00
